"country","continent","lifeExp_1952","gdpPercap_1952","lifeExp_2007","gdpPercap_2007","lifeExp_증감","gdp_CAGR"
"Afghanistan","Asia",28.801,779.4453145,43.828,974.5803384,15.027,0.00407052443919298
"Albania","Europe",55.23,1601.056136,76.423,5937.029526,21.193,0.0241142562517982
"Algeria","Africa",43.077,2449.008185,72.301,6223.367465,29.224,0.0171014571812564
"Angola","Africa",30.015,3520.610273,42.731,4797.231267,12.716,0.00564139095208094
"Argentina","Americas",62.485,5911.315053,75.32,12779.37964,12.835,0.0141162442875209
"Australia","Oceania",69.12,10039.59564,81.235,34435.36744,12.115,0.022662940539051
"Austria","Europe",66.8,6137.076492,79.829,36126.4927,13.029,0.0327555370079027
"Bahrain","Asia",50.939,9867.084765,75.635,29796.04834,24.696,0.020297268171392
"Bangladesh","Asia",37.484,684.2441716,64.062,1391.253792,26.578,0.0129862492369464
"Belgium","Europe",68,8343.105127,79.441,33692.60508,11.441,0.0257037497193251
"Benin","Africa",38.223,1062.7522,56.728,1441.284873,18.505,0.00555488109586788
"Bolivia","Americas",40.414,2677.326347,65.554,3822.137084,25.14,0.00649355681105712
"Bosnia and Herzegovina","Europe",53.82,973.5331948,74.852,7446.298803,21.032,0.0376843506722184
"Botswana","Africa",47.622,851.2411407,50.728,12569.85177,3.106,0.0501699615963085
"Brazil","Americas",50.917,2108.944355,72.39,9065.800825,21.473,0.0268695879481429
"Bulgaria","Europe",59.6,2444.286648,73.005,10680.79282,13.405,0.027175305971165
"Burkina Faso","Africa",31.975,543.2552413,52.295,1217.032994,20.32,0.0147733711772382
"Burundi","Africa",39.031,339.2964587,49.58,430.0706916,10.549,0.00431976448326798
"Cambodia","Asia",39.417,368.4692856,59.723,1713.778686,20.306,0.0283414353829572
"Cameroon","Africa",38.523,1172.667655,50.43,2042.09524,11.907,0.0101363952351219
"Canada","Americas",68.75,11367.16112,80.653,36319.23501,11.903,0.0213449565345392
"Central African Republic","Africa",35.463,1071.310713,44.741,706.016537,9.278,-0.00755313936144297
"Chad","Africa",38.092,1178.665927,50.651,1704.063724,12.559,0.0067249222547987
"Chile","Americas",54.745,3939.978789,78.553,13171.63885,23.808,0.0221859941341176
"China","Asia",44,400.4486107,72.961,4959.114854,28.961,0.0468154748533434
"Colombia","Americas",50.643,2144.115096,72.889,7006.580419,22.246,0.0217629382663409
"Comoros","Africa",40.715,1102.990936,65.152,986.1478792,24.437,-0.00203382858697676
"Congo, Dem. Rep.","Africa",39.143,780.5423257,46.462,277.5518587,7.319,-0.0186240463352007
"Congo, Rep.","Africa",42.111,2125.621418,55.322,3632.557798,13.211,0.00979076141359969
"Costa Rica","Americas",57.206,2627.009471,78.782,9645.06142,21.576,0.0239290845816669
"Cote d'Ivoire","Africa",40.477,1388.594732,48.328,1544.750112,7.85100000000001,0.0019395130794595
"Croatia","Europe",61.21,3119.23652,75.748,14619.22272,14.538,0.0284844859338236
"Cuba","Americas",59.421,5586.53878,78.273,8948.102923,18.852,0.00860190616165468
"Czech Republic","Europe",66.87,6876.14025,76.486,22833.30851,9.616,0.0220609657371302
"Denmark","Europe",70.78,9692.385245,78.332,35278.41874,7.55199999999999,0.0237677067233562
"Djibouti","Africa",34.812,2669.529475,54.791,2082.481567,19.979,-0.00450513016693832
"Dominican Republic","Americas",45.928,1397.717137,72.235,6025.374752,26.307,0.0269221971583438
"Ecuador","Americas",48.357,3522.110717,74.994,6873.262326,26.637,0.0122301552624926
"Egypt","Africa",41.893,1418.822445,71.338,5581.180998,29.445,0.0252139574652883
"El Salvador","Americas",45.262,3048.3029,71.878,5728.353514,26.616,0.0115359064163767
"Equatorial Guinea","Africa",34.482,375.6431231,51.579,12154.08975,17.097,0.0652550010352089
"Eritrea","Africa",35.928,328.9405571,58.04,641.3695236,22.112,0.0122145173503576
